,0,1,2,3
0,Tennessee Valley Authority,14-Nov-2023,30-Sep-2023,TVC.N
1,Pineapple Energy Inc,14-Apr-2023,31-Dec-2022,PEGY.OQ
2,Orbital Infrastructure Group Inc,07-Apr-2023,31-Dec-2022,OIGBQ.PK
3,PG&E Recovery Funding LLC,31-Mar-2023,31-Dec-2022,—
4,Greenbacker Renewable Energy Company LLC,31-Mar-2023,31-Dec-2022,—
5,AEP Texas Restoration Funding LLC,29-Mar-2023,31-Dec-2022,—
6,Via Renewables Inc,29-Mar-2023,31-Dec-2022,VIA.OQ
7,SCE Recovery Funding LLC,29-Mar-2023,31-Dec-2022,—
8,PSNH Funding 3 LLC,29-Mar-2023,31-Dec-2022,—
9,Duke Energy Progress LLC,29-Mar-2023,31-Dec-2022,CPWPO.PK^C13
10,Duke Energy Carolinas LLC,29-Mar-2023,31-Dec-2022,—
11,Duke Energy Florida LLC,29-Mar-2023,31-Dec-2022,FLPWP.PK^C13
12,CenterPoint Energy Transition Bond IV Co LLC,28-Mar-2023,31-Dec-2022,—
13,Cleco Power LLC,28-Mar-2023,31-Dec-2022,—
14,Oglethorpe Power Corp,27-Mar-2023,31-Dec-2022,—
15,Cei Funding LLC,24-Mar-2023,31-Dec-2022,—
16,Entergy New Orleans Storm Recovery Funding I LLC,24-Mar-2023,31-Dec-2022,—
17,Consumers 2014 Securitization Funding LLC,14-Mar-2023,31-Dec-2022,—
18,Tri-State Generation and Transmission Association Inc,10-Mar-2023,31-Dec-2022,—
19,Renewable Innovations Inc,08-Mar-2023,30-Nov-2022,REII.PK
20,Cleco Corporate Holdings LLC,08-Mar-2023,31-Dec-2022,CNL.N^D16
21,Ipalco Enterprises Inc,01-Mar-2023,31-Dec-2022,IPL.N^C01
22,DPL Inc,01-Mar-2023,31-Dec-2022,DPL.N^K11
23,AES Corp,01-Mar-2023,31-Dec-2022,AES.N
24,Vistra Corp,01-Mar-2023,31-Dec-2022,VST.N
25,Oncor Electric Delivery Company LLC,28-Feb-2023,31-Dec-2022,—
26,San Diego Gas & Electric Co,28-Feb-2023,31-Dec-2022,SDO_ph.A^J13
27,PNM Resources Inc,28-Feb-2023,31-Dec-2022,PNM.N
28,Hawaiian Electric Company Inc,27-Feb-2023,31-Dec-2022,HAWLI.PK
29,Arizona Public Service Co,27-Feb-2023,31-Dec-2022,AZD.N^A00
30,Berkshire Hathaway Energy Co,27-Feb-2023,31-Dec-2022,—
31,Duke Energy Carolinas LLC,27-Feb-2023,31-Dec-2022,—
32,Alliant Energy Corp,24-Feb-2023,31-Dec-2022,LNT.OQ
33,Entergy Arkansas LLC,24-Feb-2023,31-Dec-2022,EGRKM.PK^K18
34,Puget Energy Inc,24-Feb-2023,31-Dec-2022,PSD.N^B09
35,Evergy Inc,24-Feb-2023,31-Dec-2022,EVRG.OQ
36,NRG Energy Inc,23-Feb-2023,31-Dec-2022,NRG.N
37,Clearway Energy LLC,23-Feb-2023,31-Dec-2022,—
38,Nextera Energy Partners LP,23-Feb-2023,31-Dec-2022,NEP.N
39,DTE Electric Co,23-Feb-2023,31-Dec-2022,—
40,Northern States Power Co,23-Feb-2023,31-Dec-2022,—
41,Public Service Company of Colorado,23-Feb-2023,31-Dec-2022,—
42,Southwestern Public Service Co,23-Feb-2023,31-Dec-2022,SPS.N^H97
43,Northern States Power Co (Wisconsin),23-Feb-2023,31-Dec-2022,—
44,Xcel Energy Inc,23-Feb-2023,31-Dec-2022,XEL.OQ
45,AEP Texas Inc,23-Feb-2023,31-Dec-2022,—
46,Wisconsin Public Service Corp,23-Feb-2023,31-Dec-2022,WIPSI.PK^K15
47,Wisconsin Electric Power Co,23-Feb-2023,31-Dec-2022,WELPP.PK
48,WEC Energy Group Inc,23-Feb-2023,31-Dec-2022,WEC.N
49,Tampa Electric Co,23-Feb-2023,31-Dec-2022,TAECM.PK^L04
50,PG&E Corp,23-Feb-2023,31-Dec-2022,PCG.N
51,OGE Energy Corp,23-Feb-2023,31-Dec-2022,OGE.N
52,Avangrid Inc,22-Feb-2023,31-Dec-2022,AGR.N
53,MGE Energy Inc,22-Feb-2023,31-Dec-2022,MGEE.OQ
54,Ameren Corp,22-Feb-2023,31-Dec-2022,AEE.N
55,Dominion Energy South Carolina Inc,21-Feb-2023,31-Dec-2022,SCG_p.N^L09
56,Dominion Energy Inc,21-Feb-2023,31-Dec-2022,D.N
57,Florida Power & Light Co,17-Feb-2023,31-Dec-2022,ELB.N^L03
58,CenterPoint Energy Inc,17-Feb-2023,31-Dec-2022,CNP.N
59,Consolidated Edison Company of New York Inc,16-Feb-2023,31-Dec-2022,CEDNM.PK^E12
60,Constellation Energy Corp,16-Feb-2023,31-Dec-2022,CEG.OQ
61,Idacorp Inc,16-Feb-2023,31-Dec-2022,IDA.N
62,Alabama Power Co,16-Feb-2023,31-Dec-2022,ALP_pq.N^J22
63,Portland General Electric Co,16-Feb-2023,31-Dec-2022,POR.N
64,ALLETE Inc,16-Feb-2023,31-Dec-2022,ALE.N
65,Connecticut Light and Power Co,15-Feb-2023,31-Dec-2022,CNLPL.PK
66,Otter Tail Corp,15-Feb-2023,31-Dec-2022,OTTR.OQ
67,Atlantic City Electric Co,14-Feb-2023,31-Dec-2022,ANTEM.PK^C11
68,FirstEnergy Corp,13-Feb-2023,31-Dec-2022,FE.N
69,ITC Holdings Corp,10-Feb-2023,31-Dec-2022,ITC.N^J16
70,Tucson Electric Power Co,10-Feb-2023,31-Dec-2022,—
71,CMS Energy Corp,09-Feb-2023,31-Dec-2022,CMS.N
72,Astra Energy Inc,14-Dec-2022,31-Aug-2022,ASRE.PK
73,Tennessee Valley Authority,15-Nov-2022,30-Sep-2022,TVC.N
74,Just Energy Group Inc,08-Aug-2022,31-Mar-2022,JEh.V^L22
75,Orbital Infrastructure Group Inc,31-Mar-2022,31-Dec-2021,OIGBQ.PK
76,SCE Recovery Funding LLC,31-Mar-2022,31-Dec-2021,—
77,Duke Energy Progress LLC,30-Mar-2022,31-Dec-2021,CPWPO.PK^C13
78,Duke Energy Carolinas LLC,30-Mar-2022,31-Dec-2021,—
79,Duke Energy Florida LLC,29-Mar-2022,31-Dec-2021,FLPWP.PK^C13
80,Entergy Texas Restoration Funding LLC,28-Mar-2022,31-Dec-2021,—
81,Entergy New Orleans Storm Recovery Funding I LLC,28-Mar-2022,31-Dec-2021,—
82,Oglethorpe Power Corp,28-Mar-2022,31-Dec-2021,—
83,PSNH Funding 3 LLC,25-Mar-2022,31-Dec-2021,—
84,CenterPoint Energy Transition Bond IV Co LLC,25-Mar-2022,31-Dec-2021,—
85,Cei Funding LLC,25-Mar-2022,31-Dec-2021,—
86,AEP Texas Restoration Funding LLC,25-Mar-2022,31-Dec-2021,—
87,PG&E Recovery Funding LLC,24-Mar-2022,31-Dec-2021,—
88,WindGen Energy Inc,18-Mar-2022,31-Dec-2021,WGEI.PK
89,Consumers 2014 Securitization Funding LLC,15-Mar-2022,31-Dec-2021,—
90,Pineapple Energy Inc,14-Mar-2022,31-Dec-2021,PEGY.OQ
91,Tri-State Generation and Transmission Association Inc,09-Mar-2022,31-Dec-2021,—
