,0,1,2,3,4,5,6,7,8
0,Tennessee Valley Authority,TVC.N,"14-Nov-2023, 20:11",14-Nov-2023,30-Sep-2023,Tennessee Valley Authority 10-K,US,Electric Utilities (NEC),231400522
1,Pineapple Energy Inc,PEGY.OQ,"15-Apr-2023, 04:03",14-Apr-2023,31-Dec-2022,Pineapple Energy Inc. 10-K,US,Electric Utilities (NEC),23820823
2,Orbital Infrastructure Group Inc,OIGBQ.PK,"07-Apr-2023, 19:07",07-Apr-2023,31-Dec-2022,"Orbital Infrastructure Group, Inc. 10-K",US,Electric Utilities (NEC),23807500
3,PG&E Recovery Funding LLC,—,"01-Apr-2023, 05:16",31-Mar-2023,31-Dec-2022,PG&E Recovery Funding LLC 10-K,US,Corporate Financial Services (NEC),23787759
4,Greenbacker Renewable Energy Company LLC,—,"01-Apr-2023, 04:35",31-Mar-2023,31-Dec-2022,Greenbacker Renewable Energy Co LLC 10-K,US,Electric Utilities (NEC),23787100
5,Duke Energy Florida Project Finance LLC,—,"26-May-2023, 12:06",29-Mar-2023,31-Dec-2022,Duke Energy Florida Project Finance LLC 10-K,US,Electric Utilities (NEC),cr15930316
6,AEP Texas Restoration Funding LLC,—,"30-Mar-2023, 06:24",29-Mar-2023,31-Dec-2022,AEP Texas Restoration Funding LLC 10-K,US,Electric Utilities (NEC),23776237
7,Via Renewables Inc,VIA.OQ,"30-Mar-2023, 05:21",29-Mar-2023,31-Dec-2022,"Via Renewables, Inc. 10-K",US,Electric Utilities (NEC),23775444
8,SCE Recovery Funding LLC,—,"30-Mar-2023, 05:17",29-Mar-2023,31-Dec-2022,SCE Recovery Funding LLC 10-K,US,Corporate Financial Services (NEC),23775393
9,PSNH Funding 3 LLC,—,"30-Mar-2023, 05:12",29-Mar-2023,31-Dec-2022,PSNH FUNDING LLC 3 10-K,US,Corporate Financial Services (NEC),23775304
10,Duke Energy Progress LLC,CPWPO.PK^C13,"30-Mar-2023, 03:40",29-Mar-2023,31-Dec-2022,Duke Energy Progress NC Storm Funding LLC 10-K,US,Electric Utilities (NEC),23774572
11,Duke Energy Carolinas LLC,—,"30-Mar-2023, 03:32",29-Mar-2023,31-Dec-2022,Duke Energy Carolinas NC Storm Funding LLC 10-K,US,Electric Utilities (NEC),23774545
12,Duke Energy Florida LLC,FLPWP.PK^C13,"30-Mar-2023, 03:28",29-Mar-2023,31-Dec-2022,"Duke Energy Florida Project Finance, LLC 10-K",US,Electric Utilities (NEC),23774524
13,CenterPoint Energy Transition Bond IV Co LLC,—,"29-Mar-2023, 05:41",28-Mar-2023,31-Dec-2022,"CenterPoint Energy Transition Bond Co IV, LLC 10-K",US,Electric Utilities (NEC),23770129
14,Cleco Power LLC,—,"28-Mar-2023, 19:10",28-Mar-2023,31-Dec-2022,Cleco Securitization I LLC 10-K,US,Electric Utilities (NEC),23765757
15,Oglethorpe Power Corp,—,"28-Mar-2023, 06:19",27-Mar-2023,31-Dec-2022,OGLETHORPE POWER CORP 10-K,US,Electric Utilities (NEC),23765371
16,Cei Funding LLC,—,"25-Mar-2023, 04:07",24-Mar-2023,31-Dec-2022,FirstEnergy Ohio PIRB Special Purpose Trust 2013 10-K,US,—,23759534
17,Entergy New Orleans Storm Recovery Funding I LLC,—,"25-Mar-2023, 00:06",24-Mar-2023,31-Dec-2022,"Entergy New Orleans Storm Recovery Funding I, L.L.C. 10-K",US,Electric Utilities (NEC),23758513
18,Consumers 2014 Securitization Funding LLC,—,"15-Mar-2023, 05:25",14-Mar-2023,31-Dec-2022,Consumers 2014 Securitization Funding LLC 10-K,US,—,23731338
19,Tri-State Generation and Transmission Association Inc,—,"11-Mar-2023, 02:09",10-Mar-2023,31-Dec-2022,"Tri-State Generation&Transmission Association, Inc. 10-K",US,Electric Utilities (NEC),23722607
20,Renewable Innovations Inc,REII.PK,"09-Mar-2023, 06:15",08-Mar-2023,30-Nov-2022,"RENEWABLE INNOVATIONS, INC. 10-K",US,Electric Utilities (NEC),23716177
21,Cleco Corporate Holdings LLC,CNL.N^D16,"09-Mar-2023, 02:06",08-Mar-2023,31-Dec-2022,Cleco Corporate Holdings LLC 10-K,US,Electric Utilities (NEC),23715278
22,Ipalco Enterprises Inc,IPL.N^C01,"02-Mar-2023, 07:01",01-Mar-2023,31-Dec-2022,"IPALCO ENTERPRISES, INC. 10-K",US,Electric Utilities (NEC),23694495
23,DPL Inc,DPL.N^K11,"02-Mar-2023, 06:59",01-Mar-2023,31-Dec-2022,DPL INC 10-K,US,Electric Utilities (NEC),23694461
24,AES Corp,AES.N,"02-Mar-2023, 06:59",01-Mar-2023,31-Dec-2022,AES CORP 10-K,US,Electric Utilities (NEC),23694366
25,Vistra Corp,VST.N,"01-Mar-2023, 23:46",01-Mar-2023,31-Dec-2022,Vistra Corp. 10-K,US,Electric Utilities (NEC),23690186
26,Oncor Electric Delivery Company LLC,—,"01-Mar-2023, 05:33",28-Feb-2023,31-Dec-2022,ONCOR ELECTRIC DELIVERY CO LLC 10-K,US,Electric Utilities (NEC),23684621
27,San Diego Gas & Electric Co,SDO_ph.A^J13,"01-Mar-2023, 04:51",28-Feb-2023,31-Dec-2022,SEMPRA ENERGY 10-K,US,Electric Utilities (NEC),23684078
28,PNM Resources Inc,PNM.N,"28-Feb-2023, 22:05",28-Feb-2023,31-Dec-2022,PNM RESOURCES INC 10-K,US,Electric Utilities (NEC),23678455
29,Hawaiian Electric Company Inc,HAWLI.PK,"28-Feb-2023, 04:08",27-Feb-2023,31-Dec-2022,HAWAIIAN ELECTRIC INDUSTRIES INC 10-K,US,Electric Utilities (NEC),23672950
30,Arizona Public Service Co,AZD.N^A00,"27-Feb-2023, 22:38",27-Feb-2023,31-Dec-2022,PINNACLE WEST CAPITAL CORP 10-K,US,Electric Utilities (NEC),23670171
31,Berkshire Hathaway Energy Co,—,"27-Feb-2023, 20:49",27-Feb-2023,31-Dec-2022,BERKSHIRE HATHAWAY ENERGY CO 10-K,US,Electric Utilities (NEC),23669263
32,Duke Energy Carolinas LLC,—,"27-Feb-2023, 20:24",27-Feb-2023,31-Dec-2022,Duke Energy CORP 10-K,US,Electric Utilities (NEC),23669940
33,Alliant Energy Corp,LNT.OQ,"25-Feb-2023, 06:43",24-Feb-2023,31-Dec-2022,ALLIANT ENERGY CORP 10-K,US,Electric Utilities (NEC),23666947
34,Entergy Arkansas LLC,EGRKM.PK^K18,"25-Feb-2023, 01:58",24-Feb-2023,31-Dec-2022,ENTERGY CORP /DE/ 10-K,US,Electric Utilities (NEC),23664591
35,Puget Energy Inc,PSD.N^B09,"24-Feb-2023, 20:16",24-Feb-2023,31-Dec-2022,PUGET ENERGY INC /WA 10-K,US,Electric Utilities (NEC),23661863
36,Evergy Inc,EVRG.OQ,"24-Feb-2023, 20:05",24-Feb-2023,31-Dec-2022,"Evergy, Inc. 10-K",US,Electric Utilities (NEC),23661229
37,NRG Energy Inc,NRG.N,"24-Feb-2023, 10:34",23-Feb-2023,31-Dec-2022,"NRG ENERGY, INC. 10-K",US,Electric Utilities (NEC),23661092
38,Clearway Energy LLC,—,"24-Feb-2023, 10:33",23-Feb-2023,31-Dec-2022,Clearway Energy LLC 10-K,US,Electric Utilities (NEC),23660542
39,Nextera Energy Partners LP,NEP.N,"24-Feb-2023, 10:32",23-Feb-2023,31-Dec-2022,"NEXTERA ENERGY PARTNERS, LP 10-K",US,Electric Utilities (NEC),23661087
40,Edison International,EIX.N,"24-Feb-2023, 06:28",23-Feb-2023,31-Dec-2022,EDISON INTERNATIONAL 10-K,US,Electric Utilities (NEC),23659725
41,DTE Electric Co,—,"24-Feb-2023, 05:43",23-Feb-2023,31-Dec-2022,DTE ENERGY CO 10-K,US,Electric Utilities (NEC),23659360
42,Northern States Power Co,—,"24-Feb-2023, 05:11",23-Feb-2023,31-Dec-2022,NORTHERN STATES POWER CO 10-K,US,Electric Utilities (NEC),23659159
43,Public Service Company of Colorado,—,"24-Feb-2023, 05:07",23-Feb-2023,31-Dec-2022,PUBLIC SERVICE CO OF COLORADO 10-K,US,Electric Utilities (NEC),23659148
44,Southwestern Public Service Co,SPS.N^H97,"24-Feb-2023, 05:03",23-Feb-2023,31-Dec-2022,SOUTHWESTERN PUBLIC SERVICE CO 10-K,US,Electric Utilities (NEC),23659094
45,Northern States Power Co (Wisconsin),—,"24-Feb-2023, 04:59",23-Feb-2023,31-Dec-2022,NORTHERN STATES POWER CO /WI/ 10-K,US,Electric Utilities (NEC),23659085
46,Xcel Energy Inc,XEL.OQ,"24-Feb-2023, 04:58",23-Feb-2023,31-Dec-2022,XCEL ENERGY INC 10-K,US,Electric Utilities (NEC),23659072
47,AEP Texas Inc,—,"23-Feb-2023, 22:37",23-Feb-2023,31-Dec-2022,AMERICAN ELECTRIC POWER CO INC 10-K,US,Electric Utilities (NEC),23656044
48,Wisconsin Public Service Corp,WIPSI.PK^K15,"23-Feb-2023, 22:16",23-Feb-2023,31-Dec-2022,WISCONSIN PUBLIC SERVICE CORP 10-K,US,Electric Utilities (NEC),23656025
49,Wisconsin Electric Power Co,WELPP.PK,"23-Feb-2023, 22:00",23-Feb-2023,31-Dec-2022,WISCONSIN ELECTRIC POWER CO 10-K,US,Electric Utilities (NEC),23655993
50,WEC Energy Group Inc,WEC.N,"23-Feb-2023, 21:50",23-Feb-2023,31-Dec-2022,"WEC ENERGY GROUP, INC. 10-K",US,Electric Utilities (NEC),23655972
51,Tampa Electric Co,TAECM.PK^L04,"23-Feb-2023, 20:22",23-Feb-2023,31-Dec-2022,TAMPA ELECTRIC CO 10-K,US,Electric Utilities (NEC),23655819
52,PG&E Corp,PCG.N,"23-Feb-2023, 20:21",23-Feb-2023,31-Dec-2022,PG&E Corp 10-K,US,Electric Utilities (NEC),23655758
53,OGE Energy Corp,OGE.N,"23-Feb-2023, 20:16",23-Feb-2023,31-Dec-2022,OGE ENERGY CORP. 10-K,US,Electric Utilities (NEC),23655349
54,Avangrid Inc,AGR.N,"23-Feb-2023, 06:12",22-Feb-2023,31-Dec-2022,"Avangrid, Inc. 10-K",US,Electric Utilities (NEC),23653133
55,MGE Energy Inc,MGEE.OQ,"23-Feb-2023, 01:56",22-Feb-2023,31-Dec-2022,MGE ENERGY INC 10-K,US,Electric Utilities (NEC),23651347
56,Ameren Corp,AEE.N,"22-Feb-2023, 20:07",22-Feb-2023,31-Dec-2022,AMEREN CORP 10-K,US,Multiline Utilities,23650271
57,Dominion Energy South Carolina Inc,SCG_p.N^L09,"21-Feb-2023, 21:16",21-Feb-2023,31-Dec-2022,"DOMINION ENERGY SOUTH CAROLINA, INC. 10-K",US,Electric Utilities (NEC),23645246
58,Dominion Energy Inc,D.N,"21-Feb-2023, 21:08",21-Feb-2023,31-Dec-2022,"DOMINION ENERGY, INC 10-K",US,Electric Utilities (NEC),23645207
59,Florida Power & Light Co,ELB.N^L03,"18-Feb-2023, 06:31",17-Feb-2023,31-Dec-2022,NEXTERA ENERGY INC 10-K,US,Electric Utilities (NEC),23642987
60,,KUTLP.PK^J05,,,,,,,
61,CenterPoint Energy Inc,CNP.N,"17-Feb-2023, 20:27",17-Feb-2023,31-Dec-2022,CENTERPOINT ENERGY INC 10-K,US,Multiline Utilities,23640214
62,Consolidated Edison Company of New York Inc,CEDNM.PK^E12,"17-Feb-2023, 06:46",16-Feb-2023,31-Dec-2022,CONSOLIDATED EDISON INC 10-K,US,Multiline Utilities,23639013
63,Constellation Energy Corp,CEG.OQ,"17-Feb-2023, 01:08",16-Feb-2023,31-Dec-2022,Constellation Energy Corp 10-K,US,Electric Utilities (NEC),23637520
64,Idacorp Inc,IDA.N,"16-Feb-2023, 22:12",16-Feb-2023,31-Dec-2022,IDACORP INC 10-K,US,Electric Utilities (NEC),23637196
65,Alabama Power Co,ALP_pq.N^J22,"16-Feb-2023, 20:10",16-Feb-2023,31-Dec-2022,SOUTHERN CO 10-K,US,Electric Utilities (NEC),23636607
66,Portland General Electric Co,POR.N,"16-Feb-2023, 20:08",16-Feb-2023,31-Dec-2022,PORTLAND GENERAL ELECTRIC CO /OR/ 10-K,US,Electric Utilities (NEC),23636777
67,ALLETE Inc,ALE.N,"16-Feb-2023, 20:04",16-Feb-2023,31-Dec-2022,ALLETE INC 10-K,US,Electric Utilities (NEC),23636639
