,0,1,2
0,0,0,11
1,0,0,16
2,0,1,1
3,0,1,2
4,0,2,1
5,0,2,2
6,0,3,1
7,0,4,1
8,0,5,1
9,0,6,1
10,0,6,6
11,0,6,8
12,0,7,1
13,0,7,10
14,0,8,1
15,0,9,1
16,1,0,17
17,1,1,1
18,1,1,2
19,1,1,5
20,1,1,18
21,1,2,1
22,1,2,2
23,1,2,5
24,1,3,1
25,1,4,1
26,1,4,9
27,1,4,12
28,1,4,19
29,1,5,1
30,1,5,8
31,1,5,16
32,1,5,20
33,1,6,1
34,1,6,6
35,1,6,12
36,1,7,1
37,1,8,1
38,1,8,11
39,1,8,20
40,1,9,1
41,1,9,7
42,1,9,16
43,1,9,20
44,2,0,10
45,2,0,12
46,2,0,18
47,2,1,1
48,2,1,2
49,2,1,6
50,2,1,8
51,2,2,1
52,2,2,2
53,2,3,1
54,2,3,6
55,2,3,12
56,2,3,14
57,2,3,16
58,2,4,1
59,2,4,4
60,2,4,7
61,2,4,12
62,2,4,14
63,2,4,17
64,2,4,18
65,2,5,1
66,2,5,9
67,2,6,1
68,2,7,1
69,2,7,7
70,2,7,10
71,2,7,12
72,2,7,18
73,2,8,1
74,2,8,3
75,2,8,11
76,2,9,1
77,2,9,7
78,2,9,20
79,3,0,1
80,3,0,8
81,3,1,1
82,3,1,2
83,3,2,1
84,3,2,2
85,3,2,15
86,3,2,17
87,3,3,1
88,3,3,2
89,3,3,8
90,3,3,17
91,3,3,18
92,3,4,1
93,3,4,6
94,3,5,1
95,3,5,5
96,3,6,1
97,3,7,1
98,3,7,4
99,3,7,5
100,3,7,6
101,3,8,1
102,3,8,4
103,3,8,7
104,3,9,1
105,3,9,3
106,3,9,20
107,4,0,8
108,4,0,13
109,4,1,1
110,4,1,2
111,4,1,9
112,4,2,1
113,4,2,2
114,4,2,14
115,4,3,1
116,4,3,3
117,4,3,11
118,4,3,13
119,4,3,14
120,4,3,16
121,4,4,1
122,4,4,5
123,4,4,13
124,4,4,20
125,4,5,1
126,4,5,11
127,4,6,1
128,4,7,1
129,4,7,9
130,4,7,15
131,4,8,1
132,4,8,11
133,4,8,13
134,4,8,16
135,4,8,18
136,4,9,1
137,4,9,7
138,4,9,9
139,4,9,12
140,4,9,14
141,5,0,2
142,5,0,7
143,5,1,1
144,5,1,2
145,5,1,3
146,5,2,1
147,5,2,2
148,5,3,1
149,5,3,16
150,5,4,1
151,5,4,2
152,5,4,3
153,5,4,6
154,5,5,1
155,5,5,3
156,5,5,7
157,5,5,8
158,5,6,1
159,5,6,10
160,5,7,1
161,5,8,1
162,5,9,1
163,6,0,5
164,6,0,18
165,6,1,1
166,6,1,2
167,6,1,5
168,6,1,7
169,6,1,8
170,6,1,9
171,6,1,10
172,6,1,11
173,6,1,12
174,6,1,13
175,6,2,1
176,6,2,2
177,6,3,1
178,6,3,10
179,6,4,1
180,6,5,1
181,6,6,1
182,6,7,1
183,6,7,20
184,6,8,1
185,6,8,4
186,6,8,16
187,6,9,1
188,6,9,12
189,7,0,9
190,7,0,18
191,7,1,1
192,7,1,2
193,7,2,1
194,7,2,2
195,7,3,1
196,7,3,19
197,7,4,1
198,7,4,7
199,7,4,10
200,7,4,11
201,7,4,13
202,7,4,14
203,7,4,15
204,7,4,18
205,7,5,1
206,7,5,7
207,7,6,1
208,7,6,10
209,7,6,12
210,7,7,1
211,7,7,7
212,7,8,1
213,7,9,1
214,8,1,1
215,8,1,2
216,8,1,12
217,8,1,13
218,8,2,1
219,8,2,2
220,8,2,3
221,8,2,4
222,8,2,5
223,8,2,6
224,8,3,1
225,8,4,1
226,8,4,4
227,8,5,1
228,8,6,1
229,8,6,18
230,8,7,1
231,8,7,7
232,8,8,1
233,8,8,4
234,8,8,18
235,8,9,1
236,8,9,14
237,9,0,3
238,9,0,4
239,9,1,1
240,9,1,2
241,9,2,1
242,9,2,2
243,9,3,1
244,9,3,19
245,9,4,1
246,9,5,1
247,9,5,15
248,9,6,1
249,9,6,4
250,9,6,5
251,9,6,6
252,9,6,7
253,9,6,8
254,9,6,9
255,9,6,11
256,9,6,12
257,9,6,13
258,9,6,14
259,9,7,1
260,9,7,18
261,9,8,1
262,9,9,1
263,10,1,1
264,10,1,2
265,10,2,1
266,10,2,2
267,10,3,1
268,10,3,2
269,10,3,3
270,10,3,6
271,10,3,14
272,10,4,1
273,10,4,2
274,10,4,3
275,10,4,4
276,10,4,5
277,10,4,6
278,10,4,8
279,10,4,9
280,10,4,10
281,10,5,1
282,10,5,5
283,10,6,1
284,10,7,1
285,10,7,9
286,10,8,1
287,10,9,1
288,11,1,1
289,11,1,2
290,11,2,1
291,11,2,2
292,11,3,1
293,11,4,1
294,11,5,1
295,11,6,1
296,11,7,1
297,11,8,1
298,11,9,1
299,12,0,7
300,12,0,18
301,12,0,20
302,12,1,1
303,12,1,2
304,12,2,1
305,12,2,2
306,12,3,1
307,12,3,14
308,12,4,1
309,12,5,1
310,12,6,1
311,12,6,20
312,12,7,1
313,12,8,1
314,12,8,14
315,12,8,15
316,12,9,1
317,12,9,10
318,12,9,11
319,12,9,20
320,13,0,3
321,13,1,1
322,13,1,2
323,13,2,1
324,13,3,1
325,13,4,1
326,13,5,1
327,13,6,1
328,13,7,1
329,13,8,1
330,13,9,1
