,0,1,2
0,0,0,11
1,0,0,16
2,0,1,1
3,0,1,2
4,0,2,1
5,0,2,2
6,0,3,1
7,0,4,1
8,0,5,1
9,0,6,1
10,0,6,6
11,0,6,8
12,0,7,1
13,0,7,10
14,0,8,1
15,0,9,1
16,1,0,17
17,1,1,1
18,1,1,2
19,1,1,5
20,1,1,18
21,1,2,1
22,1,2,2
23,1,2,5
24,1,3,1
25,1,4,1
26,1,4,9
27,1,4,12
28,1,4,19
29,1,5,1
30,1,5,8
31,1,5,16
32,1,5,20
33,1,6,1
34,1,6,6
35,1,6,12
36,1,7,1
37,1,8,1
38,1,8,11
39,1,8,20
40,1,9,1
41,1,9,7
42,1,9,16
43,1,9,20
44,2,0,10
45,2,0,12
46,2,0,18
47,2,1,1
48,2,1,2
49,2,1,6
50,2,1,8
51,2,2,1
52,2,2,2
53,2,3,1
54,2,3,6
55,2,3,12
56,2,3,14
57,2,3,16
58,2,4,1
59,2,4,4
60,2,4,7
61,2,4,12
62,2,4,14
63,2,4,17
64,2,4,18
65,2,5,1
66,2,5,9
67,2,6,1
68,2,7,1
69,2,7,7
70,2,7,10
71,2,7,12
72,2,7,18
73,2,8,1
74,2,8,3
75,2,8,11
76,2,9,1
77,2,9,7
78,2,9,20
79,3,0,1
80,3,0,8
81,3,0,15
82,3,1,1
83,3,1,2
84,3,2,1
85,3,2,2
86,3,2,15
87,3,2,17
88,3,3,1
89,3,3,2
90,3,3,8
91,3,3,17
92,3,3,18
93,3,4,1
94,3,4,6
95,3,5,1
96,3,5,5
97,3,6,1
98,3,7,1
99,3,7,4
100,3,7,5
101,3,7,6
102,3,8,1
103,3,8,4
104,3,8,7
105,3,9,1
106,3,9,3
107,3,9,20
108,4,0,8
109,4,0,13
110,4,1,1
111,4,1,2
112,4,1,9
113,4,2,1
114,4,2,2
115,4,2,14
116,4,3,1
117,4,3,3
118,4,3,11
119,4,3,13
120,4,3,14
121,4,3,16
122,4,4,1
123,4,4,5
124,4,4,13
125,4,4,20
126,4,5,1
127,4,5,11
128,4,6,1
129,4,7,1
130,4,7,9
131,4,7,15
132,4,8,1
133,4,8,11
134,4,8,13
135,4,8,16
136,4,8,18
137,4,9,1
138,4,9,7
139,4,9,9
140,4,9,12
141,4,9,14
142,5,0,2
143,5,0,7
144,5,1,1
145,5,1,2
146,5,1,3
147,5,2,1
148,5,2,2
149,5,3,1
150,5,3,16
151,5,4,1
152,5,4,2
153,5,4,3
154,5,4,6
155,5,5,1
156,5,5,3
157,5,5,7
158,5,5,8
159,5,6,1
160,5,6,10
161,5,7,1
162,5,8,1
163,5,9,1
164,6,0,5
165,6,0,18
166,6,1,1
167,6,1,2
168,6,1,5
169,6,1,7
170,6,1,8
171,6,1,9
172,6,1,10
173,6,1,11
174,6,1,12
175,6,1,13
176,6,2,1
177,6,2,2
178,6,3,1
179,6,3,10
180,6,4,1
181,6,5,1
182,6,6,1
183,6,7,1
184,6,7,20
185,6,8,1
186,6,8,4
187,6,8,16
188,6,9,1
189,6,9,12
190,7,0,9
191,7,0,18
192,7,1,1
193,7,1,2
194,7,2,1
195,7,2,2
196,7,3,1
197,7,3,19
198,7,4,1
199,7,4,7
200,7,4,10
201,7,4,11
202,7,4,13
203,7,4,14
204,7,4,15
205,7,4,18
206,7,5,1
207,7,5,7
208,7,6,1
209,7,6,10
210,7,6,12
211,7,6,17
212,7,7,1
213,7,7,7
214,7,8,1
215,7,9,1
216,8,1,1
217,8,1,2
218,8,1,12
219,8,1,13
220,8,2,1
221,8,2,2
222,8,2,3
223,8,2,4
224,8,2,5
225,8,2,6
226,8,3,1
227,8,4,1
228,8,4,4
229,8,5,1
230,8,6,1
231,8,6,18
232,8,7,1
233,8,7,7
234,8,8,1
235,8,8,4
236,8,8,18
237,8,9,1
238,8,9,14
239,9,0,3
240,9,0,4
241,9,1,1
242,9,1,2
243,9,1,11
244,9,2,1
245,9,2,2
246,9,3,1
247,9,3,19
248,9,4,1
249,9,5,1
250,9,5,15
251,9,6,1
252,9,6,4
253,9,6,5
254,9,6,6
255,9,6,7
256,9,6,8
257,9,6,9
258,9,6,11
259,9,6,12
260,9,6,13
261,9,6,14
262,9,7,1
263,9,7,18
264,9,8,1
265,9,9,1
266,10,1,1
267,10,1,2
268,10,2,1
269,10,2,2
270,10,3,1
271,10,3,2
272,10,3,3
273,10,3,6
274,10,3,14
275,10,4,1
276,10,4,2
277,10,4,3
278,10,4,4
279,10,4,5
280,10,4,6
281,10,4,8
282,10,4,9
283,10,4,10
284,10,5,1
285,10,5,5
286,10,6,1
287,10,7,1
288,10,7,9
289,10,8,1
290,10,9,1
291,11,1,1
292,11,1,2
293,11,2,1
294,11,2,2
295,11,3,1
296,11,3,19
297,11,4,1
298,11,5,1
299,11,6,1
300,11,7,1
301,11,8,1
302,11,9,1
303,12,0,7
304,12,0,18
305,12,0,20
306,12,1,1
307,12,1,2
308,12,2,1
309,12,2,2
310,12,3,1
311,12,3,14
312,12,4,1
313,12,5,1
314,12,6,1
315,12,6,20
316,12,7,1
317,12,8,1
318,12,8,14
319,12,8,15
320,12,9,1
321,12,9,10
322,12,9,11
323,12,9,20
324,13,0,3
325,13,1,1
326,13,1,2
327,13,2,1
328,13,3,1
329,13,4,1
330,13,5,1
331,13,6,1
332,13,7,1
333,13,8,1
334,13,9,1
