,0,1,2,3,4
0,AES.N,31-Dec-2022,US,Electric Utilities (NEC),23694366
1,—,31-Dec-2022,US,Electric Utilities (NEC),23659148
2,CEG.OQ,31-Dec-2022,US,Electric Utilities (NEC),23637520
3,—,31-Dec-2021,US,Electric Utilities (NEC),22663111
4,—,31-Dec-2021,US,Electric Utilities (NEC),22616621
5,—,31-Dec-2020,US,Electric Utilities (NEC),21781348
6,—,31-Dec-2020,US,Electric Utilities (NEC),21781312
7,MGEE.OQ,31-Dec-2020,US,Electric Utilities (NEC),21670562
8,TAECM.PK^L04,31-Dec-2020,US,Electric Utilities (NEC),21631857
9,—,31-Dec-2019,US,Electric Utilities (NEC),20742497
10,LNT.OQ,31-Dec-2019,US,Electric Utilities (NEC),20638937
11,PCG.N,31-Dec-2019,US,Electric Utilities (NEC),20623645
12,CPN.N^C18,31-Dec-2018,US,Electric Utilities (NEC),19711834
13,VST.N,31-Dec-2018,US,Electric Utilities (NEC),19644184
14,AT.N^E21,31-Dec-2018,CA,Electric Utilities (NEC),19644551
15,HAWLI.PK,31-Dec-2018,US,Electric Utilities (NEC),19644171
16,WEC.N,31-Dec-2018,US,Electric Utilities (NEC),19632940
17,ELB.N^L03,31-Dec-2018,US,Electric Utilities (NEC),19612528
18,CMS.N,31-Dec-2018,US,"Multiline Utilities
+1",19566176
19,—,31-Dec-2017,US,Fossil Fuel Electric Utilities,18725401
20,PSD.N^B09,31-Dec-2017,US,Electric Utilities (NEC),18659724
21,AEE.N,31-Dec-2017,US,"Multiline Utilities
+1",18651808
22,—,31-Dec-2017,US,Electric Utilities (NEC),18637871
23,—,31-Dec-2016,US,Electric Utilities (NEC),17726374
24,—,31-Dec-2016,US,Electric Utilities (NEC),17721982
25,—,31-Dec-2016,US,Electric Utilities (NEC),17721965
26,—,31-Dec-2016,US,Electric Utilities (NEC),17676268
27,AT.N^E21,31-Dec-2016,CA,Electric Utilities (NEC),17659893
28,ORA.N,31-Dec-2016,US,Alternative Electric Utilities,17653082
29,AEP.OQ,31-Dec-2016,US,Electric Utilities (NEC),17644005
30,—,31-Dec-2016,US,Electric Utilities (NEC),17646307
31,WELPP.PK,31-Dec-2016,US,Electric Utilities (NEC),17646142
32,WIPSI.PK^K15,31-Dec-2016,US,Electric Utilities (NEC),17646205
33,PNM.N,31-Dec-2016,US,Electric Utilities (NEC),17648577
34,D.N,31-Dec-2016,US,"Electric Utilities (NEC)
+1",17644781
35,AES.N,31-Dec-2016,US,Electric Utilities (NEC),17638773
36,IPL.N^C01,31-Dec-2016,US,Electric Utilities (NEC),17638823
37,AZD.N^A00,31-Dec-2016,US,Electric Utilities (NEC),17634857
38,SCG_p.N^L09,31-Dec-2016,US,Electric Utilities (NEC),17638396
39,EE.N^G20,31-Dec-2016,US,Electric Utilities (NEC),17638386
40,—,31-Dec-2016,US,Electric Utilities (NEC),17636620
41,—,31-Dec-2016,US,Electric Utilities (NEC),17636627
42,—,31-Dec-2016,US,Electric Utilities (NEC),17636623
43,XEL.OQ,31-Dec-2016,US,Electric Utilities (NEC),17636569
44,MGEE.OQ,31-Dec-2016,US,Electric Utilities (NEC),17635446
45,AZD.N^A00,31-Dec-2016,US,Electric Utilities (NEC),17634857
46,NEP.N,31-Dec-2016,US,Electric Utilities (NEC),17632429
47,ELB.N^L03,31-Dec-2016,US,Electric Utilities (NEC),17632371
48,—,31-Dec-2016,US,Electric Utilities (NEC),17636623
49,XEL.OQ,31-Dec-2016,US,Electric Utilities (NEC),17636569
50,LNT.OQ,31-Dec-2016,US,Electric Utilities (NEC),17636404
51,MGEE.OQ,31-Dec-2016,US,Electric Utilities (NEC),17635446
52,AZD.N^A00,31-Dec-2016,US,Electric Utilities (NEC),17634857
53,NEP.N,31-Dec-2016,US,Electric Utilities (NEC),17632429
54,ELB.N^L03,31-Dec-2016,US,Electric Utilities (NEC),17632371
55,CNLPL.PK,31-Dec-2016,US,Electric Utilities (NEC),17630365
56,WREGH.PK^F02,31-Dec-2016,US,Electric Utilities (NEC),17629214
57,CNL.N^D16,31-Dec-2016,US,Electric Utilities (NEC),17628843
58,OTTR.OQ,31-Dec-2016,US,Electric Utilities (NEC),17627566
59,CEDNM.PK^E12,31-Dec-2016,US,"Multiline Utilities
+1",17618515
60,ITC.N^J16,31-Dec-2016,US,Electric Utilities (NEC),17616584
61,—,31-Dec-2016,US,Electric Utilities (NEC),17616498
62,CPN.N^C18,31-Dec-2016,US,Electric Utilities (NEC),17589245
63,CAFD.OQ^F18,30-Nov-2016,US,Solar Electric Utilities,17550647
64,BFYW.PK,31-Aug-2016,US,Wind Systems & Equipment,162010940
65,TVC.N,30-Sep-2016,US,Electric Utilities (NEC),161996863
66,PSWW.PK,31-Dec-2015,US,Electric Utilities (NEC),161571025
67,USBL.PK,29-Feb-2016,US,Professional Sports Venues,161560079
68,AGR.N,31-Dec-2015,US,Electric Utilities (NEC),161546781
69,—,31-Dec-2015,US,Electric Utilities (NEC),161526455
70,—,31-Dec-2015,US,Electric Utilities (NEC),161470784
71,—,31-Dec-2015,US,Electric Utilities (NEC),161457547
72,—,31-Dec-2015,US,Electric Utilities (NEC),161452811
73,AES.N,31-Dec-2015,US,Electric Utilities (NEC),161449925
74,DPL.N^K11,31-Dec-2015,US,Electric Utilities (NEC),161449958
75,ELB.N^L03,31-Dec-2015,US,Electric Utilities (NEC),161442963
76,TVC.N,30-Sep-2015,US,Electric Utilities (NEC),151245946
77,AEE.N,31-Dec-2014,US,"Multiline Utilities
+1",15663854
78,ORA.N,31-Dec-2014,US,Alternative Electric Utilities,15653974
79,CNLPL.PK,31-Dec-2014,US,Electric Utilities (NEC),15649044
80,—,31-Dec-2014,US,Electric Utilities (NEC),15640576
81,CMS.N,31-Dec-2014,US,"Multiline Utilities
+1",15577634
82,TVC.N,30-Sep-2014,US,Electric Utilities (NEC),141225746
83,SIPFO.PK^F06,31-Dec-2013,US,Electric Utilities (NEC),14729306
84,PPWLO.PK,31-Dec-2013,US,Electric Utilities (NEC),14659040
85,D.N,31-Dec-2013,US,Electric Utilities (NEC),14650442
86,SDO_ph.A^J13,31-Dec-2013,US,"Electric Utilities (NEC)
+2",14649271
87,CNLPL.PK,31-Dec-2013,US,Electric Utilities (NEC),14641263
88,HAWLI.PK,31-Dec-2013,US,Electric Utilities (NEC),14634202
89,—,31-Dec-2012,US,Electric Utilities (NEC),13658759
90,D.N,31-Dec-2012,US,Electric Utilities (NEC),13650288
91,—,31-Dec-2012,US,Fossil Fuel Electric Utilities,13647358
92,WELPP.PK,31-Dec-2012,US,Electric Utilities (NEC),13646691
93,LNT.OQ,31-Dec-2012,US,Electric Utilities (NEC),13643716
94,LNT.OQ,31-Dec-2012,US,Electric Utilities (NEC),13643716
