,0,1,2,3,4
0,ELB.N^L03,31-Dec-2019,US,Electric Utilities (NEC),20618677
1,AEE.N,31-Dec-2016,US,"Multiline Utilities
+1",17645350
2,DPL.N^K11,31-Dec-2016,US,Electric Utilities (NEC),17638835
3,HAWLI.PK,31-Dec-2016,US,Electric Utilities (NEC),17637259
4,FE.N,31-Dec-2014,US,Electric Utilities (NEC),15623243
5,LNT.OQ,31-Dec-2011,US,Electric Utilities (NEC),12642205
6,—,31-Dec-2010,US,Electric Utilities (NEC),11722177
7,CNLPL.PK,31-Dec-2009,US,Electric Utilities (NEC),10636491
8,WEC.N,31-Dec-2009,US,Electric Utilities (NEC),10636484
9,—,31-Dec-2007,US,Electric Utilities (NEC),08755345
10,PPL.N,31-Dec-2007,US,"Multiline Utilities
+1",08652834
11,KUTLP.PK^J05,31-Dec-2004,US,"Electric Utilities (NEC)
+1",05715379
12,KUTLP.PK^J05,31-Dec-2004,US,"Electric Utilities (NEC)
+1",05715379
13,—,31-Dec-2004,US,Electric Utilities (NEC),05684558
14,NVE.N^L13,31-Dec-2003,US,Electric Utilities (NEC),04653553
15,PPL.N,31-Dec-2003,US,"Multiline Utilities
+1",04639016
16,POM.N^C16,31-Dec-2002,US,Electric Utilities (NEC),03622745
17,AES.N,31-Dec-2002,US,Electric Utilities (NEC),03616915
