,0,1,2,3,4
0,ASRE.PK,31-Aug-2023,US,Electric Utilities (NEC),24535884
1,TVC.N,30-Sep-2023,US,Electric Utilities (NEC),231400522
2,SPEV.PK,28-Feb-2023,US,Power Charging Stations,231031961
3,CHJI.PK,31-Dec-2022,US,Shell Companies,23823581
4,PEGY.OQ,31-Dec-2022,US,Electric Utilities (NEC),23820823
5,OIGBQ.PK,31-Dec-2022,US,Electric Utilities (NEC),23807500
6,NVVE.OQ,31-Dec-2022,US,Power Charging Stations,23789354
7,VGAS.OQ,31-Dec-2022,US,Shell Companies,23788509
8,—,31-Dec-2022,US,Corporate Financial Services (NEC),23787759
9,—,31-Dec-2022,US,Electric Utilities (NEC),23787100
10,VLTA.N,31-Dec-2022,US,Power Charging Stations,23782255
11,CLIN.OQ,31-Dec-2022,US,Shell Companies,23781533
12,EVGO.OQ,31-Dec-2022,US,Power Charging Stations,23781487
13,SPRU.N,31-Dec-2022,US,Solar Electric Utilities,23781110
14,AMPS.N,31-Dec-2022,US,Solar Electric Utilities,23777053
15,—,31-Dec-2022,US,Electric Utilities (NEC),cr15930316
16,—,31-Dec-2022,US,Electric Utilities (NEC),23776237
17,VIA.OQ,31-Dec-2022,US,Electric Utilities (NEC),23775444
18,—,31-Dec-2022,US,"Corporate Financial Services (NEC)
+1",23775393
19,—,31-Dec-2022,US,"Corporate Financial Services (NEC)
+1",23775304
20,CPWPO.PK^C13,31-Dec-2022,US,"Electric Utilities (NEC)
+1",23774572
21,—,31-Dec-2022,US,Electric Utilities (NEC),23774545
22,FLPWP.PK^C13,31-Dec-2022,US,Electric Utilities (NEC),23774524
23,—,31-Dec-2022,US,Electric Utilities (NEC),23770129
24,—,31-Dec-2022,US,"Electric Utilities (NEC)
+1",23765757
25,—,31-Dec-2022,US,Electric Utilities (NEC),23765371
26,—,31-Dec-2022,US,"—
+2",23759534
27,—,31-Dec-2022,US,Electric Utilities (NEC),23758513
28,TLGA.N,31-Dec-2022,US,Shell Companies,23747257
29,MNTK.OQ,31-Dec-2022,US,Biomass & Waste to Energy Electric Utilities,23739455
30,SMR.N,31-Dec-2022,US,Nuclear Utilities,23736361
31,BLNK.OQ,31-Dec-2022,US,Electrical Components & Equipment (NEC),23732115
32,—,31-Dec-2022,US,—,23731338
33,—,31-Dec-2022,US,Electric Utilities (NEC),23722607
34,REII.PK,30-Nov-2022,US,Electric Utilities (NEC),23716177
35,CNL.N^D16,31-Dec-2022,US,Electric Utilities (NEC),23715278
36,IPL.N^C01,31-Dec-2022,US,Electric Utilities (NEC),23694495
37,DPL.N^K11,31-Dec-2022,US,Electric Utilities (NEC),23694461
38,AES.N,31-Dec-2022,US,Electric Utilities (NEC),23694366
39,VST.N,31-Dec-2022,US,Electric Utilities (NEC),23690186
40,—,31-Dec-2022,US,Electric Utilities (NEC),23684621
41,SDO_ph.A^J13,31-Dec-2022,US,"Electric Utilities (NEC)
+2",23684078
42,PNM.N,31-Dec-2022,US,Electric Utilities (NEC),23678455
43,HAWLI.PK,31-Dec-2022,US,Electric Utilities (NEC),23672950
44,AZD.N^A00,31-Dec-2022,US,Electric Utilities (NEC),23670171
45,—,31-Dec-2022,US,"Electric Utilities (NEC)
+2",23669263
46,—,31-Dec-2022,US,"Electric Utilities (NEC)
+2",23669940
47,LNT.OQ,31-Dec-2022,US,Electric Utilities (NEC),23666947
48,EGRKM.PK^K18,31-Dec-2022,US,"Electric Utilities (NEC)
+1",23664591
49,ORA.N,31-Dec-2022,US,Alternative Electric Utilities,23662767
50,PSD.N^B09,31-Dec-2022,US,Electric Utilities (NEC),23661863
51,EVRG.OQ,31-Dec-2022,US,Electric Utilities (NEC),23661229
52,NRG.N,31-Dec-2022,US,Electric Utilities (NEC),23661092
53,—,31-Dec-2022,US,Electric Utilities (NEC),23660542
54,NEP.N,31-Dec-2022,US,Electric Utilities (NEC),23661087
55,EIX.N,31-Dec-2022,US,Electric Utilities (NEC),23659725
56,—,31-Dec-2022,US,Electric Utilities (NEC),23659360
57,—,31-Dec-2022,US,Electric Utilities (NEC),23659159
58,—,31-Dec-2022,US,Electric Utilities (NEC),23659148
59,SPS.N^H97,31-Dec-2022,US,Electric Utilities (NEC),23659094
60,,,,,
61,XEL.OQ,31-Dec-2022,US,Electric Utilities (NEC),23659072
62,—,31-Dec-2022,US,Electric Utilities (NEC),23656044
63,WIPSI.PK^K15,31-Dec-2022,US,Electric Utilities (NEC),23656025
64,WELPP.PK,31-Dec-2022,US,Electric Utilities (NEC),23655993
65,WEC.N,31-Dec-2022,US,Electric Utilities (NEC),23655972
66,TAECM.PK^L04,31-Dec-2022,US,Electric Utilities (NEC),23655819
67,PCG.N,31-Dec-2022,US,Electric Utilities (NEC),23655758
68,OGE.N,31-Dec-2022,US,"Electric Utilities (NEC)
+1",23655349
69,AGR.N,31-Dec-2022,US,Electric Utilities (NEC),23653133
70,MGEE.OQ,31-Dec-2022,US,Electric Utilities (NEC),23651347
71,AEE.N,31-Dec-2022,US,"Multiline Utilities
+1",23650271
72,SCG_p.N^L09,31-Dec-2022,US,Electric Utilities (NEC),23645246
73,D.N,31-Dec-2022,US,Electric Utilities (NEC),23645207
74,ELB.N^L03,31-Dec-2022,US,Electric Utilities (NEC),23642987
75,KUTLP.PK^J05,31-Dec-2022,US,"Electric Utilities (NEC)
+1",23641805
76,CNP.N,31-Dec-2022,US,"Multiline Utilities
+2",23640214
