,0,1,2,3,4
0,—,31-Dec-2022,US,Electric Utilities (NEC),23659085
1,ALP_pq.N^J22,31-Dec-2022,US,"Electric Utilities (NEC)
+1",23636607
2,CPWPO.PK^C13,31-Dec-2021,US,"Electric Utilities (NEC)
+1",22785096
3,PEGY.OQ,31-Dec-2021,US,Electric Utilities (NEC),22736608
4,SMR.N,31-Dec-2021,US,Nuclear Utilities,22730096
5,VST.N,31-Dec-2021,US,Electric Utilities (NEC),22674448
6,PSD.N^B09,31-Dec-2021,US,Electric Utilities (NEC),22673617
7,—,31-Dec-2020,US,Electric Utilities (NEC),21622705
8,—,31-Dec-2019,US,Electric Utilities (NEC),20731930
9,AES.N,31-Dec-2019,US,Electric Utilities (NEC),20664389
10,SPS.N^H97,31-Dec-2019,US,Electric Utilities (NEC),20640008
11,XEL.OQ,31-Dec-2019,US,Electric Utilities (NEC),20639617
12,ALE.N,31-Dec-2019,US,Electric Utilities (NEC),20606200
13,ANTEM.PK^C11,31-Dec-2019,US,Electric Utilities (NEC),20596503
14,NRG.N,31-Dec-2017,US,Electric Utilities (NEC),18657444
15,—,31-Dec-2017,US,Electric Utilities (NEC),18637876
16,CNL.N^D16,31-Dec-2017,US,Electric Utilities (NEC),18628957
17,USBL.PK,28-Feb-2017,US,Professional Sports Venues,171185505
18,TERP.OQ^H20,31-Dec-2016,US,Alternative Electric Utilities,17976700
19,—,31-Dec-2016,US,Electric Utilities (NEC),17715732
20,—,31-Dec-2016,US,Corporate Financial Services (NEC),17715679
21,—,31-Dec-2015,US,Electric Utilities (NEC),161464038
22,EAI.N,31-Dec-2015,US,"Electric Utilities (NEC)
+1",161457573
23,KUTLP.PK^J05,31-Dec-2015,US,"Electric Utilities (NEC)
+1",161442785
24,PSPW.PK,31-Mar-2015,US,Alternative Electric Utilities,15986841
25,USBL.PK,28-Feb-2015,US,Professional Sports Venues,15925021
26,VIA.OQ,31-Dec-2014,US,Electric Utilities (NEC),15729658
27,—,31-Dec-2014,US,Electric Utilities (NEC),15727462
28,—,31-Dec-2013,US,Electric Utilities (NEC),14658921
29,MGEE.OQ,31-Dec-2013,US,Electric Utilities (NEC),14648269
30,CPN.N^C18,31-Dec-2013,US,Electric Utilities (NEC),14602404
31,PCG.N,31-Dec-2013,US,Electric Utilities (NEC),14595169
32,SUME.PK,31-Dec-2012,US,Electric Utilities (NEC),13723621
33,—,31-Dec-2012,US,Corporate Financial Services (NEC),13723573
34,PEGY.OQ,31-Dec-2011,US,Electric Utilities (NEC),12693775
35,AEP.OQ,31-Dec-2011,US,Electric Utilities (NEC),12645329
36,EE.N^G20,31-Dec-2011,US,Electric Utilities (NEC),12641404
37,CNL.N^D16,31-Dec-2011,US,Electric Utilities (NEC),12630677
38,UIL.N^L15,31-Dec-2011,US,Electric Utilities (NEC),12630620
39,NSARO.PK,31-Dec-2011,US,Electric Utilities (NEC),12578697
40,NST.DG^D12,31-Dec-2011,US,Electric Utilities (NEC),12574095
41,TXHCO.PK^J05,31-Dec-2010,US,Electric Utilities (NEC),11622649
42,FEWP.PK,30-Jun-2010,US,Wind Electric Utilities,101128672
43,PRHL.PK,31-Dec-2009,US,Electric Utilities (NEC),10717866
44,—,09-Mar-2010,US,Electric Utilities (NEC),10670691
45,ORA.N,31-Dec-2009,US,Alternative Electric Utilities,10664335
46,SOCI.PK^J09,31-Dec-2008,US,Electric Utilities (NEC),09687031
47,ANTEM.PK^C11,31-Dec-2008,US,Electric Utilities (NEC),09647655
48,SWSEO.PK^K11,31-Dec-2008,US,Electric Utilities (NEC),09644291
49,WREGH.PK^F02,31-Dec-2008,US,Electric Utilities (NEC),09639429
50,EE.N^G20,31-Dec-2008,US,Electric Utilities (NEC),09639014
51,POR.N,31-Dec-2008,US,Electric Utilities (NEC),09632216
52,CVE_p.N^C05,31-Dec-2008,US,Electric Utilities (NEC),09632073
53,POR.N,31-Dec-2007,US,Electric Utilities (NEC),08645267
54,DPL.N^K11,31-Dec-2007,US,Electric Utilities (NEC),08634600
55,IPL.N^C01,31-Dec-2006,US,Electric Utilities (NEC),07770825
56,NSARO.PK,31-Dec-2006,US,Electric Utilities (NEC),07697291
57,CV.N^F12,31-Dec-2006,US,Electric Utilities (NEC),07695100
58,AEE.N,31-Dec-2006,US,"Multiline Utilities
+2",07664082
59,—,31-Dec-2006,US,Electric Utilities (NEC),07663839
60,—,31-Dec-2005,US,Electric Utilities (NEC),06712007
61,CNLPL.PK,31-Dec-2005,US,Electric Utilities (NEC),06679920
62,—,31-Dec-2005,US,Electric Utilities (NEC),06669285
63,CIN.N^D06,31-Dec-2005,US,"Multiline Utilities
+1",06659971
64,PSOKM.PK^K11,31-Dec-2005,US,Electric Utilities (NEC),06652873
65,OHIPM.PK^K11,31-Dec-2005,US,Electric Utilities (NEC),06652858
66,HAWLI.PK,31-Dec-2004,US,Electric Utilities (NEC),05675197
67,—,31-Dec-2004,US,Electric Utilities (NEC),05659480
68,ALP_pq.N^J22,31-Dec-2004,US,Electric Utilities (NEC),05647823
69,—,31-Dec-2004,PH,Electric Utilities (NEC),05598005
70,ALE.N,31-Dec-2004,US,Electric Utilities (NEC),05595075
71,RKE.A^E06,31-Dec-2003,US,Electric Utilities (NEC),04697878
