,0,1,2
0,0,0,6
1,0,2,1
2,0,3,1
3,0,4,1
4,0,5,1
5,0,5,2
6,0,5,8
7,0,5,9
8,0,6,1
9,0,6,2
10,0,6,13
11,0,8,6
12,0,8,16
13,0,9,1
14,0,9,2
15,0,9,8
16,1,0,8
17,1,1,6
18,1,1,20
19,1,2,1
20,1,2,6
21,1,2,10
22,1,2,11
23,1,2,14
24,1,3,1
25,1,3,4
26,1,3,5
27,1,3,11
28,1,3,19
29,1,3,20
30,1,4,1
31,1,4,3
32,1,4,4
33,1,4,6
34,1,4,9
35,1,4,10
36,1,4,11
37,1,4,12
38,1,4,15
39,1,4,17
40,1,4,18
41,1,4,19
42,1,4,20
43,1,5,1
44,1,5,2
45,1,5,13
46,1,5,19
47,1,6,1
48,1,6,2
49,1,6,3
50,1,6,6
51,1,6,7
52,1,6,8
53,1,6,10
54,1,6,11
55,1,6,13
56,1,6,15
57,1,6,19
58,1,7,2
59,1,7,5
60,1,7,6
61,1,7,8
62,1,7,12
63,1,7,18
64,1,7,19
65,1,7,20
66,1,8,5
67,1,8,6
68,1,8,13
69,1,8,14
70,1,8,15
71,1,8,17
72,1,8,18
73,1,9,1
74,1,9,2
75,2,0,3
76,2,0,5
77,2,0,7
78,2,0,11
79,2,0,12
80,2,0,14
81,2,0,15
82,2,0,16
83,2,0,18
84,2,0,20
85,2,1,2
86,2,1,5
87,2,1,7
88,2,1,8
89,2,1,10
90,2,1,11
91,2,1,12
92,2,1,13
93,2,1,14
94,2,1,15
95,2,1,19
96,2,2,1
97,2,2,2
98,2,2,4
99,2,2,5
100,2,2,7
101,2,2,8
102,2,2,11
103,2,2,13
104,2,2,14
105,2,2,15
106,2,2,16
107,2,2,17
108,2,2,18
109,2,2,20
110,2,3,1
111,2,3,2
112,2,3,3
113,2,3,16
114,2,4,1
115,2,4,8
116,2,4,11
117,2,4,13
118,2,4,18
119,2,5,1
120,2,5,2
121,2,5,5
122,2,5,6
123,2,5,9
124,2,5,11
125,2,5,12
126,2,5,13
127,2,5,15
128,2,5,16
129,2,5,17
130,2,5,18
131,2,6,1
132,2,6,2
133,2,6,4
134,2,6,5
135,2,6,6
136,2,6,8
137,2,6,9
138,2,6,10
139,2,6,11
140,2,6,15
141,2,6,18
142,2,7,12
143,2,7,19
144,2,8,3
145,2,8,4
146,2,8,10
147,2,8,12
148,2,8,16
149,2,8,19
150,2,8,20
151,2,9,1
152,2,9,2
153,2,9,3
154,2,9,4
155,2,9,6
156,2,9,8
157,2,9,10
158,2,9,15
159,2,9,16
160,2,9,17
161,2,9,20
162,3,0,1
163,3,0,2
164,3,0,5
165,3,0,9
166,3,0,10
167,3,0,14
168,3,0,16
169,3,1,1
170,3,1,2
171,3,1,3
172,3,1,5
173,3,1,6
174,3,1,7
175,3,1,11
176,3,1,12
177,3,2,1
178,3,2,16
179,3,2,18
180,3,2,19
181,3,2,20
182,3,3,1
183,3,3,9
184,3,3,17
185,3,3,18
186,3,4,1
187,3,4,2
188,3,4,8
189,3,4,17
190,3,4,19
191,3,5,1
192,3,5,2
193,3,5,7
194,3,5,10
195,3,5,12
196,3,5,16
197,3,5,18
198,3,6,1
199,3,6,2
200,3,6,3
201,3,6,9
202,3,7,4
203,3,7,7
204,3,7,8
205,3,7,10
206,3,7,13
207,3,7,14
208,3,8,1
209,3,8,3
210,3,8,4
211,3,8,6
212,3,8,14
213,3,8,16
214,3,8,17
215,3,8,19
216,3,8,20
217,3,9,1
218,3,9,2
219,3,9,3
220,3,9,5
221,3,9,6
222,3,9,9
223,3,9,15
224,3,9,17
225,3,9,18
226,3,9,19
227,3,9,20
228,4,0,5
229,4,0,6
230,4,1,16
231,4,1,17
232,4,1,20
233,4,2,1
234,4,2,3
235,4,2,4
236,4,2,8
237,4,2,9
238,4,2,10
239,4,2,11
240,4,2,12
241,4,2,18
242,4,2,19
243,4,3,1
244,4,3,2
245,4,3,4
246,4,3,6
247,4,3,15
248,4,3,20
249,4,4,1
250,4,4,6
251,4,4,16
252,4,4,17
253,4,4,18
254,4,4,20
255,4,5,1
256,4,5,2
257,4,6,1
258,4,6,2
259,4,6,10
260,4,6,14
261,4,6,17
262,4,6,19
263,4,7,1
264,4,7,2
265,4,7,3
266,4,7,4
267,4,7,5
268,4,7,6
269,4,7,7
270,4,7,8
271,4,7,9
272,4,7,17
273,4,8,2
274,4,8,7
275,4,8,8
276,4,8,10
277,4,8,12
278,4,8,13
279,4,8,19
280,4,9,1
281,4,9,2
282,4,9,7
283,4,9,9
284,4,9,12
285,4,9,16
286,4,9,19
287,4,9,20
288,5,1,8
289,5,1,11
290,5,1,13
291,5,1,18
292,5,2,1
293,5,2,8
294,5,2,9
295,5,2,14
296,5,3,1
297,5,3,7
298,5,3,8
299,5,3,9
300,5,3,10
301,5,3,11
302,5,3,12
303,5,3,13
304,5,3,14
305,5,3,15
306,5,3,16
307,5,3,19
308,5,4,1
309,5,4,6
310,5,5,1
311,5,5,2
312,5,5,11
313,5,5,16
314,5,6,1
315,5,6,2
316,5,7,15
317,5,8,11
318,5,8,12
319,5,8,16
320,5,8,17
321,5,8,19
322,5,8,20
323,5,9,1
324,5,9,2
325,5,9,3
326,5,9,4
327,5,9,5
328,5,9,6
329,5,9,7
330,5,9,8
331,5,9,9
332,5,9,19
333,6,0,3
334,6,0,5
335,6,1,2
336,6,1,13
337,6,2,1
338,6,3,1
339,6,3,19
340,6,4,1
341,6,4,2
342,6,4,6
343,6,4,10
344,6,4,18
345,6,5,1
346,6,5,2
347,6,5,4
348,6,5,5
349,6,5,6
350,6,5,8
351,6,5,9
352,6,5,20
353,6,6,1
354,6,6,2
355,6,6,12
356,6,6,13
357,6,6,16
358,6,7,2
359,6,7,3
360,6,7,5
361,6,7,7
362,6,7,9
363,6,7,10
364,6,7,16
365,6,7,17
366,6,7,20
367,6,8,6
368,6,8,9
369,6,9,1
370,6,9,2
371,6,9,11
372,7,0,12
373,7,0,13
374,7,0,16
375,7,0,19
376,7,0,20
377,7,1,6
378,7,1,7
379,7,1,13
380,7,1,16
381,7,1,17
382,7,1,18
383,7,1,19
384,7,1,20
385,7,2,1
386,7,2,2
387,7,2,10
388,7,3,1
389,7,3,2
390,7,3,14
391,7,4,1
392,7,4,2
393,7,5,1
394,7,5,2
395,7,6,1
396,7,6,2
397,7,6,4
398,7,6,6
399,7,6,17
400,7,7,2
401,7,7,6
402,7,8,3
403,7,8,4
404,7,8,5
405,7,8,6
406,7,8,7
407,7,8,9
408,7,8,11
409,7,8,13
410,7,8,14
411,7,8,15
412,7,8,16
413,7,8,17
414,7,8,18
415,7,8,19
416,7,9,1
417,7,9,2
418,7,9,3
419,7,9,7
420,7,9,9
421,7,9,12
422,7,9,14
423,7,9,15
424,8,0,2
425,8,0,9
426,8,0,18
427,8,1,4
428,8,1,7
429,8,2,1
430,8,2,17
431,8,2,20
432,8,3,1
433,8,3,4
434,8,3,6
435,8,3,11
436,8,4,1
437,8,4,4
438,8,4,17
439,8,4,18
440,8,5,1
441,8,5,2
442,8,5,4
443,8,5,6
444,8,5,8
445,8,5,14
446,8,5,15
447,8,5,17
448,8,5,18
449,8,5,19
450,8,5,20
451,8,6,1
452,8,6,2
453,8,6,4
454,8,6,5
455,8,6,6
456,8,6,7
457,8,6,16
458,8,7,9
459,8,8,9
460,8,8,16
461,8,9,1
462,8,9,2
463,8,9,11
464,8,9,12
465,9,2,1
466,9,2,4
467,9,2,7
468,9,2,12
469,9,2,13
470,9,2,15
471,9,3,1
472,9,3,2
473,9,3,3
474,9,3,4
475,9,3,5
476,9,3,6
477,9,3,7
478,9,3,8
479,9,3,9
480,9,3,11
481,9,3,12
482,9,3,13
483,9,3,15
484,9,3,17
485,9,4,1
486,9,4,6
487,9,4,8
488,9,4,13
489,9,4,14
490,9,5,1
491,9,5,2
492,9,6,1
493,9,6,2
494,9,6,8
495,9,6,15
496,9,7,6
497,9,8,11
498,9,8,15
499,9,8,16
500,9,8,17
501,9,9,1
502,9,9,2
503,9,9,18
504,10,0,2
505,10,0,8
506,10,0,10
507,10,0,15
508,10,2,1
509,10,2,3
510,10,2,9
511,10,2,11
512,10,2,12
513,10,2,13
514,10,2,15
515,10,3,1
516,10,4,1
517,10,4,15
518,10,4,16
519,10,4,18
520,10,5,1
521,10,5,2
522,10,5,4
523,10,5,15
524,10,6,1
525,10,6,2
526,10,6,4
527,10,7,2
528,10,7,17
529,10,7,18
530,10,8,8
531,10,8,10
532,10,8,11
533,10,8,18
534,10,9,1
535,10,9,2
536,11,2,1
537,11,3,1
538,11,4,1
539,11,5,1
540,11,5,2
541,11,6,1
542,11,6,2
543,11,6,17
544,11,7,1
